V2	V(ce)	Ic(Q1)
Step Information: Vbb=0  (Step: 1/26)
3.700000000000000e+00	3.403489e+00	5.294841e-04
3.800000000000000e+00	3.503032e+00	5.303007e-04
3.900000000000000e+00	3.602574e+00	5.311172e-04
4.000000000000000e+00	3.702117e+00	5.319338e-04
4.100000000000001e+00	3.801660e+00	5.327504e-04
4.200000000000000e+00	3.901202e+00	5.335670e-04
4.300000000000000e+00	4.000745e+00	5.343836e-04
4.400000000000000e+00	4.100288e+00	5.352001e-04
4.500000000000000e+00	4.199831e+00	5.360167e-04
4.600000000000001e+00	4.299373e+00	5.368332e-04
4.700000000000000e+00	4.398916e+00	5.376498e-04
4.800000000000001e+00	4.498459e+00	5.384664e-04
4.900000000000000e+00	4.598001e+00	5.392830e-04
5.000000000000000e+00	4.697544e+00	5.400995e-04
5.100000000000001e+00	4.797087e+00	5.409161e-04
5.200000000000000e+00	4.896630e+00	5.417326e-04
5.300000000000001e+00	4.996172e+00	5.425492e-04
5.400000000000000e+00	5.095715e+00	5.433657e-04
5.500000000000000e+00	5.195258e+00	5.441823e-04
5.600000000000001e+00	5.294801e+00	5.449988e-04
5.700000000000000e+00	5.394343e+00	5.458153e-04
5.800000000000001e+00	5.493886e+00	5.466319e-04
5.900000000000000e+00	5.593429e+00	5.474484e-04
6.000000000000000e+00	5.692972e+00	5.482649e-04
6.100000000000001e+00	5.792514e+00	5.490814e-04
6.200000000000000e+00	5.892057e+00	5.498980e-04
6.300000000000001e+00	5.991600e+00	5.507145e-04
6.400000000000000e+00	6.091143e+00	5.515310e-04
6.500000000000000e+00	6.190685e+00	5.523475e-04
6.600000000000001e+00	6.290228e+00	5.531640e-04
6.700000000000000e+00	6.389771e+00	5.539805e-04
6.800000000000001e+00	6.489314e+00	5.547970e-04
6.900000000000000e+00	6.588856e+00	5.556135e-04
7.000000000000000e+00	6.688399e+00	5.564300e-04
7.100000000000001e+00	6.787942e+00	5.572465e-04
7.200000000000000e+00	6.887485e+00	5.580630e-04
7.300000000000001e+00	6.987028e+00	5.588795e-04
7.400000000000000e+00	7.086570e+00	5.596960e-04
7.500000000000000e+00	7.186113e+00	5.605125e-04
7.600000000000001e+00	7.285656e+00	5.613290e-04
7.700000000000000e+00	7.385199e+00	5.621454e-04
7.800000000000001e+00	7.484741e+00	5.629619e-04
7.900000000000000e+00	7.584284e+00	5.637783e-04
8.000000000000000e+00	7.683827e+00	5.645948e-04
8.100000000000000e+00	7.783370e+00	5.654113e-04
8.200000000000001e+00	7.882913e+00	5.662278e-04
8.300000000000001e+00	7.982455e+00	5.670442e-04
8.400000000000000e+00	8.081998e+00	5.678607e-04
8.500000000000000e+00	8.181540e+00	5.686771e-04
8.600000000000000e+00	8.281084e+00	5.694936e-04
8.700000000000001e+00	8.380627e+00	5.703100e-04
8.800000000000001e+00	8.480169e+00	5.711265e-04
8.900000000000000e+00	8.579712e+00	5.719429e-04
9.000000000000000e+00	8.679255e+00	5.727594e-04
9.100000000000000e+00	8.778797e+00	5.735758e-04
9.200000000000001e+00	8.878341e+00	5.743922e-04
9.300000000000001e+00	8.977883e+00	5.752086e-04
9.400000000000000e+00	9.077426e+00	5.760250e-04
9.500000000000000e+00	9.176969e+00	5.768415e-04
9.600000000000001e+00	9.276511e+00	5.776579e-04
9.700000000000001e+00	9.376055e+00	5.784743e-04
9.800000000000001e+00	9.475597e+00	5.792907e-04
9.900000000000000e+00	9.575140e+00	5.801072e-04
1.000000000000000e+01	9.674683e+00	5.809236e-04
Step Information: Vbb=1  (Step: 6/26)
0.000000000000000e+00	2.383837e-03	-4.256853e-06
