time	V(vo)	V(n001)
3.954631035666051e-02	-4.820496e+00	-4.821133e+00
3.955762126769289e-02	-4.703560e+00	-4.701723e+00
3.957309383867069e-02	-4.537728e+00	-4.538281e+00
3.958998103403958e-02	-4.361589e+00	-4.359774e+00
3.962375542477736e-02	-4.001874e+00	-4.002398e+00
3.966281792477735e-02	-3.590308e+00	-3.588506e+00
3.970188042477735e-02	-3.173568e+00	-3.174074e+00
3.974094292477735e-02	-2.760954e+00	-2.759165e+00
3.978000542477735e-02	-2.343349e+00	-2.343840e+00
3.981906792477735e-02	-1.929938e+00	-1.928161e+00
3.985813042477735e-02	-1.511717e+00	-1.512193e+00
3.989719292477735e-02	-1.097760e+00	-1.095997e+00
3.993625542477735e-02	-6.791740e-01	-6.796353e-01
3.997531792477735e-02	-2.649216e-01	-2.631716e-01
4.000000000000000e-02	4.433231e-04	-1.662580e-14
