time	V(vo)
2.834376221152378e-02	7.283460e+00
2.855581578295235e-02	7.266966e+00
2.863394078295235e-02	7.260546e+00
2.871206578295234e-02	7.252324e+00
2.879019078295234e-02	7.242299e+00
2.886831578295234e-02	7.230472e+00
2.894644078295234e-02	7.216842e+00
2.902456578295234e-02	7.201410e+00
2.910269078295234e-02	7.184176e+00
2.918081578295233e-02	7.157723e+00
2.921987828295233e-02	7.139263e+00
2.925894078295233e-02	7.113820e+00
2.929800328295233e-02	7.071363e+00
2.933706578295233e-02	6.963902e+00
2.935572211133604e-02	6.818386e+00
2.937394517029052e-02	6.633408e+00
2.938056147135738e-02	6.563137e+00
2.939245939865464e-02	6.439803e+00
2.940663152412253e-02	6.290270e+00
2.942514006378337e-02	6.097340e+00
2.945461267845577e-02	5.786853e+00
2.949367517845577e-02	5.377103e+00
2.953273767845577e-02	4.964386e+00
2.957180017845577e-02	4.553067e+00
2.961086267845577e-02	4.138927e+00
2.964992517845576e-02	3.726287e+00
2.968898767845576e-02	3.310976e+00
2.972805017845576e-02	2.897264e+00
2.976711267845576e-02	2.481030e+00
2.980617517845576e-02	2.066496e+00
2.984523767845576e-02	1.649588e+00
2.988430017845576e-02	1.234483e+00
2.992336267845576e-02	8.171527e-01
2.996242517845576e-02	4.017272e-01
3.000148767845576e-02	-1.577527e-02
3.004055017845576e-02	-4.312703e-01
3.007961267845576e-02	-8.486941e-01
3.011867517845575e-02	-1.264008e+00
3.015773767845575e-02	-1.681102e+00
3.019680017845575e-02	-2.095983e+00
3.023586267845575e-02	-2.512498e+00
3.027492517845575e-02	-2.926696e+00
3.031398767845575e-02	-3.342381e+00
3.035305017845575e-02	-3.755645e+00
3.039211267845575e-02	-4.170250e+00
3.043117517845575e-02	-4.582332e+00
3.047023767845575e-02	-4.995608e+00
3.050930017845575e-02	-5.406259e+00
3.054836267845575e-02	-5.817957e+00
3.058742517845574e-02	-6.226923e+00
3.062648767845574e-02	-6.636744e+00
3.066555017845574e-02	-7.043685e+00
3.070402872863852e-02	-7.445422e+00
3.074309122863851e-02	-7.850327e+00
3.078094248758512e-02	-8.243325e+00
3.082000498758512e-02	-8.645848e+00
3.085906748758512e-02	-9.048859e+00
3.089812998758511e-02	-9.448724e+00
3.093719248758511e-02	-9.848937e+00
3.097625498758511e-02	-1.024590e+01
3.101531748758511e-02	-1.064308e+01
3.105437998758511e-02	-1.103691e+01
3.109344248758511e-02	-1.143081e+01
3.113250498758511e-02	-1.182124e+01
3.113738780008511e-02	-1.187032e+01
3.114715342508511e-02	-1.196578e+01
3.116045989049753e-02	-1.208613e+01
3.117597478584431e-02	-1.218387e+01
3.119758611311325e-02	-1.225293e+01
3.122242409269570e-02	-1.229378e+01
3.124848998295306e-02	-1.232055e+01
3.128755248295306e-02	-1.234750e+01
3.160005248295306e-02	-1.243435e+01
3.177304355438162e-02	-1.245496e+01
3.194603462581019e-02	-1.247318e+01
3.211902569723876e-02	-1.248901e+01
3.229201676866732e-02	-1.250246e+01
3.246500784009589e-02	-1.251352e+01
3.263799891152446e-02	-1.252220e+01
3.281098998295303e-02	-1.252849e+01
3.315697212581017e-02	-1.254100e+01
3.350295426866730e-02	-1.255131e+01
3.384893641152444e-02	-1.255943e+01
3.419491855438157e-02	-1.256534e+01
3.454090069723871e-02	-1.256906e+01
3.488688284009584e-02	-1.257057e+01
3.523286498295298e-02	-1.256989e+01
3.553978462581012e-02	-1.256841e+01
3.584670426866725e-02	-1.256504e+01
3.615362391152439e-02	-1.255977e+01
3.646054355438152e-02	-1.255261e+01
3.676746319723866e-02	-1.254355e+01
3.707438284009579e-02	-1.253260e+01
3.738130248295293e-02	-1.251975e+01
3.750407034009579e-02	-1.251397e+01
3.762683819723864e-02	-1.250709e+01
3.774960605438150e-02	-1.249910e+01
3.787237391152435e-02	-1.249002e+01
3.799514176866720e-02	-1.247983e+01
3.811790962581006e-02	-1.246854e+01
3.824067748295291e-02	-1.245615e+01
3.830206141152434e-02	-1.245013e+01
3.836344534009577e-02	-1.244194e+01
3.842482926866719e-02	-1.243160e+01
3.848621319723863e-02	-1.241911e+01
3.854759712581005e-02	-1.240446e+01
3.860898105438148e-02	-1.238766e+01
3.867036498295291e-02	-1.236869e+01
3.874848998295290e-02	-1.232494e+01
3.878755248295290e-02	-1.228262e+01
3.882661498295290e-02	-1.217707e+01
3.884544218783378e-02	-1.203755e+01
3.886429470239056e-02	-1.185502e+01
3.887091899127244e-02	-1.178793e+01
3.888373870853692e-02	-1.166066e+01
3.889803908345634e-02	-1.151641e+01
3.891786488531169e-02	-1.131828e+01
3.894468423238062e-02	-1.104735e+01
3.898176184278297e-02	-1.067373e+01
3.902082434278296e-02	-1.027664e+01
3.905988684278296e-02	-9.879836e+00
3.909894934278296e-02	-9.479719e+00
3.913801184278296e-02	-9.079995e+00
3.917707434278296e-02	-8.677092e+00
3.921613684278296e-02	-8.274685e+00
3.925519934278296e-02	-7.869237e+00
3.929426184278296e-02	-7.464391e+00
3.933332434278296e-02	-7.056642e+00
3.937238684278296e-02	-6.649601e+00
3.941144934278296e-02	-6.239795e+00
3.945051184278296e-02	-5.830805e+00
3.948957434278295e-02	-5.419190e+00
3.952863684278295e-02	-5.008498e+00
3.956769934278295e-02	-4.595321e+00
3.960676184278295e-02	-4.183174e+00
3.964582434278295e-02	-3.768682e+00
3.968488684278295e-02	-3.355330e+00
3.972394934278295e-02	-2.939774e+00
3.976301184278295e-02	-2.525466e+00
3.980207434278295e-02	-2.109094e+00
3.984113684278295e-02	-1.694081e+00
3.988019934278295e-02	-1.277144e+00
3.991926184278295e-02	-8.616753e-01
3.995832434278294e-02	-4.444243e-01
3.999738684278294e-02	-2.875117e-02
4.000000000000000e-02	-9.679596e-05
